Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,data_eligible,matched_locations,translated_sentence_en,matched_locations_en
36,37,37,पक्राउ पर्नेमा दैलेख गुराँस गाउँपालिका–२ बस्ने ३६ वर्षीय कमलबहादुर खत्री र कञ्चनपुर पुनर्बास गाउँपालिका–४ बस्ने २० वर्षीय हरि ढकाल रहेका छन्,Yes,['कञ्चनपुर'],"Those arrested are 36-year-old Kamal Bahadur Khatri, resident of Dailekh Guran Rural Municipality-2, and 20-year-old Hari Dhakal, resident of Kanchanpur Punarvas Rural Municipality-4.",['Kanchanpur']
37,38,38,पक्राउ पर्नेमा दैलेख गुराँस गाउँपालिका–२ बस्ने ३६ वर्षीय कमलबहादुर खत्री र कञ्चनपुर पुनर्बास गाउँपालिका–४ बस्ने २० वर्षीय हरि ढकाल रहेका छन्,Yes,['कञ्चनपुर'],"Those arrested are 36-year-old Kamal Bahadur Khatri, resident of Dailekh Guran Rural Municipality-2, and 20-year-old Hari Dhakal, resident of Kanchanpur Punarvas Rural Municipality-4.",['Kanchanpur']
38,40,40,नारायणहिटीमा बन्धक बनेको शासकीय अधिकार आफ्नै हातमा फिर्ता ल्याए,Yes,['नारायण'],He brought back to his own hands the governing authority that had been held captive in Narayanhiti.,['Narayan']
39,42,42,नारायणहिटीमा बन्धक बनेको शासकीय अधिकार आफ्नै हातमा फिर्ता ल्याए,Yes,['नारायण'],He brought back to his own hands the governing authority that had been held captive in Narayanhiti.,['Narayan']
40,43,43,"कार्यक्रमको सिलसिलामा बिहीबार भरतपुर पुगेका प्रचण्डले विमानस्थलमा सञ्चारकर्मीसँग सङ्क्षिप्त कुराकानी गर्दै भने, “भेनेजुएलाको राजनीतिक संकटका बारेमा सचिवालय र सरकारको वक्तव्य आइसकेको छ, व्यक्तिको प्रतिक्रियाको कुनै अर्थ छैन",Yes,['भरतपुर'],"Prachanda, who reached Bharatpur on Thursday in connection with a program, said while talking briefly to journalists at the airport, ""The statement of the secretariat and the government has already been issued regarding the political crisis in Venezuela, the reaction of the individual has no meaning.""",['Bharatpur']
41,44,44,"कार्यक्रमको सिलसिलामा बिहीबार भरतपुर पुगेका प्रचण्डले विमानस्थलमा सञ्चारकर्मीसँग सङ्क्षिप्त कुराकानी गर्दै भने, “भेनेजुएलाको राजनीतिक संकटका बारेमा सचिवालय र सरकारको वक्तव्य आइसकेको छ, व्यक्तिको प्रतिक्रियाको कुनै अर्थ छैन",Yes,['भरतपुर'],"Prachanda, who reached Bharatpur on Thursday in connection with a program, said while talking briefly to journalists at the airport, ""The statement of the secretariat and the government has already been issued regarding the political crisis in Venezuela, the reaction of the individual has no meaning.""",['Bharatpur']
42,45,45,"” 
देवघाट",Yes,['देवघाट'],"""",['Devghat']
43,46,46,"बिहीवार बिहान यस समाचारलाई नागरिक, राजधानी, गोरखापत्र, अन्नपूर्ण पोस्ट तथा कान्तिपुरले महत्त्वका साथ प्रकाशित गरे",Yes,['गोरखा'],"On Thursday morning, this news was published with importance by Nagarik, Rajdhani, Gorkhapatra, Annapurna Post and Kantipur.",['Gorkha']
44,47,47,नागरिक तथा राजधानीले सात कोलममा ब्यानर समाचार बनाए भने गोरखापत्र र पोस्टले चार कोलमको मुख्य समाचार बनाए,Yes,['गोरखा'],"Nagarik and Rajdhani made it a banner news in seven columns, while Gorkhapatra and Post made it the main news in four columns.",['Gorkha']
45,49,49,” मुलुकमा गणतन्त्र आउनुअघि नारायणहिटी दरबारमाथि जहाज तथा हेलिकोप्टर उडानमा प्रतिबन्ध लगाइएको थियो,Yes,['नारायण'],""" Before the country became a republic, the flight of planes and helicopters over Narayanhiti Palace was banned.",['Narayan']
46,50,50,गणतन्त्र स्थापनापछि नारायणहिटी छाडेर राष्ट्रपति भवनमाथि उड्न प्रतिबन्ध लगाइएको हो,Yes,['नारायण'],"After the establishment of the republic, the ban was imposed on flying over the President's House after leaving Narayanhiti.",['Narayan']
47,51,51,"पश्चिमतर्फ जाँदा भने सीतापाइला, मैजु (मनमैजु), टोखा, थानकोटलगायत स्थान यथावत राखिएका छन्",Yes,['टोखा'],"While going towards the west, places like Sitapaila, Maiju (Manamaiju), Tokha, Thankot etc. have been kept as they are.",['Tokha']
48,52,52,” मुलुकमा गणतन्त्र आउनुअघि नारायणहिटी दरबारमाथि जहाज तथा हेलिकोप्टर उडानमा प्रतिबन्ध लगाइएको थियो,Yes,['नारायण'],""" Before the country became a republic, the flight of planes and helicopters over Narayanhiti Palace was banned.",['Narayan']
49,53,53,गणतन्त्र स्थापनापछि नारायणहिटी छाडेर राष्ट्रपति भवनमाथि उड्न प्रतिबन्ध लगाइएको हो,Yes,['नारायण'],"After the establishment of the republic, the ban was imposed on flying over the President's House after leaving Narayanhiti.",['Narayan']
50,54,54,"पश्चिमतर्फ जाँदा भने सीतापाइला, मैजु (मनमैजु), टोखा, थानकोटलगायत स्थान यथावत राखिएका छन्",Yes,['टोखा'],"While going towards the west, places like Sitapaila, Maiju (Manamaiju), Tokha, Thankot etc. have been kept as they are.",['Tokha']
51,55,55,ताप्लेजुङको कन्चनजङ्घा आसपास केन्द्रबिन्दु भएर आज ४.६ रिक्टर स्केलको भूकम्प गएको छ,Yes,[ 'ताप्लेजुङ'],An earthquake of 4.6 Richter scale has occurred today with its epicenter around Kanchanjunga of Taplejung.,['Taplejung']
52,56,56,गोरखा भूकम्पछि निरन्तर परकम्प गइरहेका छन्,Yes,['गोरखा'],Aftershocks are continuously occurring after the Gorkha earthquake.,['Gorkha']
53,57,57,विसं २०७२ वैशाख १२ को ७.६ रिक्टर स्केलको गोरखा भूकम्पपछि हालसम्म ५१० परकम्प गएको केन्द्रले जनाएको छ,Yes,['गोरखा'],"According to the center, 510 aftershocks have occurred so far after the 7.6 Richter scale Gorkha earthquake of Baisakh 12, 2072 BS.",['Gorkha']
54,58,58,मेलम्ची आयोजनालाई एउटा सचिवले बन्धक बनाएर राख्दा समेत सरकार टुलुटुलु हेरेर बसेको पोस्टको भनाइ छ,Yes,['मेलम्ची'],The Post's statement is that the government has been sitting idly by even when a secretary has held the Melamchi project hostage.,['Melamchi']
55,59,59,बरु गोरखापत्रले सरकारको समर्थनमा राखेको अडान स्पष्ट छ,Yes,['गोरखा'],"Rather, Gorkhapatra has a clear stance in support of the government.",['Gorkha']
56,60,60,गोरखापत्र आफ्नो सम्पादकीयमा कुनै प्रकारले अलमलमा परेको देखिदैन,Yes,['गोरखा'],Gorkhapatra does not seem to be confused in any way in its editorial.,['Gorkha']
57,61,61,ललितपुरको नख्खुस्थित एनसेल प्रालिको गेटमा विष्फोट हुँदा एक जनाको मृत्यु र दुईजना घाइते भएपछि सरकार विप्लवविरुद्ध आक्रामक बन्न लागेको हो,Yes,['ललितपुर'],"The government has become aggressive against Biplav after one person died and two were injured in an explosion at the gate of Ncell Pvt. Ltd. in Nakhkhu, Lalitpur.",['Lalitpur']
58,62,62,उच्च स्रोतका अनुसार ललितपुरमा गराइएको विष्फोटमा विप्लवकै आफन्तको संलग्नता रहेको हुनसक्ने निष्कर्ष प्रहरीले निकालेको छ,Yes,['ललितपुर'],"According to high sources, the police have concluded that the relatives of Biplav may have been involved in the explosion in Lalitpur.",['Lalitpur']
59,63,63,"ललितपुरमा बम बोकेर विप्लवकै नातेदार आएको सूचना हामीलाई छ,” एक प्रहरी अधिकारीले भने",Yes,['ललितपुर'],"We have information that Biplav's relatives came to Lalitpur carrying bombs,"" said a police officer.",['Lalitpur']
60,64,64,ललितपुरको नख्खुस्थित एनसेल प्रालिको गेटमा विष्फोट हुँदा एक जनाको मृत्यु र दुईजना घाइते भएपछि सरकार विप्लवविरुद्ध आक्रामक बन्न लागेको हो,Yes,['ललितपुर'],"The government has become aggressive against Biplav after one person died and two were injured in an explosion at the gate of Ncell Pvt. Ltd. in Nakhkhu, Lalitpur.",['Lalitpur']
61,65,65,उच्च स्रोतका अनुसार ललितपुरमा गराइएको विष्फोटमा विप्लवकै आफन्तको संलग्नता रहेको हुनसक्ने निष्कर्ष प्रहरीले निकालेको छ,Yes,['ललितपुर'],"According to high sources, the police have concluded that the relatives of Biplav may have been involved in the explosion in Lalitpur.",['Lalitpur']
62,66,66,"ललितपुरमा बम बोकेर विप्लवकै नातेदार आएको सूचना हामीलाई छ,” एक प्रहरी अधिकारीले भने",Yes,['ललितपुर'],"We have information that Biplav's relatives came to Lalitpur carrying bombs,"" said a police officer.",['Lalitpur']
63,67,67,ललितपुरको नख्खुमा रहेको एनसेल कार्यालयलाई लक्षित गरी बम विस्फोट गराएको आरोपमा नेत्रविक्रम चन्दकै पूर्वअंगरक्षक पक्राउ परेका छन्,Yes,['ललितपुर'],"Netra Bikram Chand's former bodyguard has been arrested on the charge of bombing the Ncell office in Nakhkhu, Lalitpur.",['Lalitpur']
64,68,68,ललितपुरको नख्खुमा रहेको एनसेल कार्यालयलाई लक्षित गरी बम विस्फोट गराएको आरोपमा नेत्रविक्रम चन्दकै पूर्वअंगरक्षक पक्राउ परेका छन्,Yes,['ललितपुर'],"Netra Bikram Chand's former bodyguard has been arrested on the charge of bombing the Ncell office in Nakhkhu, Lalitpur.",['Lalitpur']
65,69,69,पर्यटनमन्त्री रवीन्द्र अधिकारी चढेको हेलिकोप्टर ताप्लेजुङमा दुर्घटनामा परेको छ,Yes,[ 'ताप्लेजुङ'],The helicopter carrying Tourism Minister Rabindra Adhikari has crashed in Taplejung.,['Taplejung']
66,70,70,पर्यटनमन्त्री रवीन्द्र अधिकारी चढेको हेलिकोप्टर ताप्लेजुङमा दुर्घटनामा परेको छ,Yes,[ 'ताप्लेजुङ'],The helicopter carrying Tourism Minister Rabindra Adhikari has crashed in Taplejung.,['Taplejung']
67,71,71,एयर डाइनेष्टिको हेलिकोप्टर ताप्लेजुङमा दुर्घटना हुँदा पर्यटनमन्त्री रविन्द्र अधिकारीसहित सातजनाको मृत्यु भएको छ,Yes,[ 'ताप्लेजुङ'],"Seven people, including Tourism Minister Rabindra Adhikari, have died in a helicopter crash in Taplejung.",['Taplejung']
68,72,72,एयर डाइनेष्टिको हेलिकोप्टर ताप्लेजुङमा दुर्घटना हुँदा पर्यटनमन्त्री रविन्द्र अधिकारीसहित सातजनाको मृत्यु भएको छ,Yes,[ 'ताप्लेजुङ'],"Seven people, including Tourism Minister Rabindra Adhikari, have died in a helicopter crash in Taplejung.",['Taplejung']
69,73,73,"ताप्लेजुङको पाथीभरा नजिकै हेलिकोप्टर दुर्घटनामा मृत्यु भएका संस्कृति, पर्यटन तथा नागरिक उड्ययन मन्त्री रविन्द्र अधिकारीले अन्तिम सम्बोधनमा वर्तमान सरकार बनेपछि समृद्धिको यात्रामा अघि जान नदिनेहरु अत्तालिएको बताएका थिए",Yes,[ 'ताप्लेजुङ'],"Culture, Tourism and Civil Aviation Minister Rabindra Adhikari, who died in a helicopter crash near Pathibhara in Taplejung, said in his last address that those who do not want the journey of prosperity to move forward after the formation of the current government are frightened.",['Taplejung']
70,74,74,पोखरा,Yes,['पोखरा'],Pokhara,['Pokhara']
71,75,75,"ताप्लेजुङमा मंगलबार भएको हेलिकोप्टर दुर्घटनामा परी संस्कृति, पर्यटन तथा नागरिक उड्ययनमन्त्री रविन्द्र अधिकारीसहित सातजनाको मृत्यु भएको छ",Yes,[ 'ताप्लेजुङ'],"Seven people, including Minister of Culture, Tourism and Civil Aviation Rabindra Adhikari, have died in the helicopter crash in Taplejung on Tuesday.",['Taplejung']
72,76,76,प्रवेशिका उतीर्ण गर्नेबित्तिकै वनविज्ञान अध्ययन संस्थानमा भर्ना भएतापनि त्यसको केहि समयमै २०४२ सालमा पृथ्वीनारायण क्याम्पस पोखरामा अध्ययन गर्न थाले,Yes,"['पोखरा', 'नारायण']","As soon as he passed the entrance examination, he enrolled in the Institute of Forestry Studies, but after some time in 2042 BS, he started studying at Prithvi Narayan Campus Pokhara.","['Pokhara', 'Narayan']"
73,77,77,पृथ्वीनारायण क्याम्पसबाटै अधिकारीको राजनीतिक जीवन सुरुवात भएको थियो,Yes,['नारायण'],Adhikari's political life started from Prithvi Narayan Campus.,['Narayan']
74,78,78,"२०४४ सालमा अनेरास्ववियु पृथ्वीनारायण क्याम्पस कमिटीको अध्यक्ष, २०४५ सालमा स्ववियु पृथ्वीनारायण क्याम्पस सदस्य, २०४५ सालमा नै अनेरास्ववियु कास्की जिल्ला कमिटी अध्यक्ष, २०४७ सालमा गण्डकी अन्चल अध्यक्ष तथा अनेरास्ववियु केन्द्रीय सदस्य र २०४९ सालमा पृथ्वीनारायण क्याम्पस पोखरा र २०५३ सालमा त्रिभुवन विश्वविद्यालय केन्द्रीय क्याम्पस किर्तीपुरमा स्ववियु सभापतिमा निर्वाचित भएका थिए",Yes,"['पोखरा', 'नारायण']","In 2044 BS, he became the Chairman of ANNFSU Prithvi Narayan Campus Committee, in 2045 BS, a member of SWCU Prithvi Narayan Campus, in 2045 BS itself, the Chairman of ANNFSU Kaski District Committee, in 2047 BS, the Gandaki Regional Chairman and ANNFSU Central Member, and in 2049 BS, he was elected as the SWCU President at Prithvi Narayan Campus Pokhara and in 2053 BS at Tribhuvan University Central Campus Kirtipur.","['Pokhara', 'Narayan']"
75,79,79,०४६ सालको आन्दोलनको केन्द्र पोखरा थियो,Yes,['पोखरा'],Pokhara was the center of the movement of 2046 BS.,['Pokhara']
76,80,80,०४६ को परिवर्तनपछि विद्यार्थी आन्दोलन रचनात्मक र बढ्ता शैक्षिक मुद्दामा केन्द्रित हुनुपर्छ भन्ने उनको विचार पृथ्वीनारायण क्याम्पसबाट सुरुवात भएको थियो,Yes,['नारायण'],His idea that the student movement should be creative and more focused on educational issues after the change of 2046 BS started from Prithvi Narayan Campus.,['Narayan']
77,81,81,"२०४५ सालमा पार्टीको संगठित सदस्यता, २०३९ पार्टीको रेडगार्ड अर्गनाइजेसनमा संगठित २०४० मा इलाका पार्टी कमिटी, २०४६–४७ मा पोखरा नगर कमिटी, २०४८ मा पार्टी जिल्ला कमिटी र त्यसपछि लगातार जिल्ला कमिटीमा उनी सक्रिय थिए",Yes,['पोखरा'],"In 2045 BS, he became an organized member of the party, in 2039 he was organized in the Red Guard Organization of the party, in 2040 in the Area Party Committee, in 2046-47 in the Pokhara Nagar Committee, in 2048 in the Party District Committee, and after that he was continuously active in the District Committee.",['Pokhara']
78,82,82,पोखरा,Yes,['पोखरा'],Pokhara,['Pokhara']
79,83,83,"ताप्लेजुङमा मंगलबार भएको हेलिकोप्टर दुर्घटनामा परी संस्कृति, पर्यटन तथा नागरिक उड्ययनमन्त्री रविन्द्र अधिकारीसहित सातजनाको मृत्यु भएको छ",Yes,[ 'ताप्लेजुङ'],"Seven people, including Minister of Culture, Tourism and Civil Aviation Rabindra Adhikari, have died in the helicopter crash in Taplejung on Tuesday.",['Taplejung']
80,84,84,प्रवेशिका उतीर्ण गर्नेबित्तिकै वनविज्ञान अध्ययन संस्थानमा भर्ना भएतापनि त्यसको केहि समयमै २०४२ सालमा पृथ्वीनारायण क्याम्पस पोखरामा अध्ययन गर्न थाले,Yes,"['पोखरा', 'नारायण']","As soon as he passed the entrance examination, he enrolled in the Institute of Forestry Studies, but after some time in 2042 BS, he started studying at Prithvi Narayan Campus Pokhara.","['Pokhara', 'Narayan']"
81,85,85,पृथ्वीनारायण क्याम्पसबाटै अधिकारीको राजनीतिक जीवन सुरुवात भएको थियो,Yes,['नारायण'],Adhikari's political life started from Prithvi Narayan Campus.,['Narayan']
82,86,86,"२०४४ सालमा अनेरास्ववियु पृथ्वीनारायण क्याम्पस कमिटीको अध्यक्ष, २०४५ सालमा स्ववियु पृथ्वीनारायण क्याम्पस सदस्य, २०४५ सालमा नै अनेरास्ववियु कास्की जिल्ला कमिटी अध्यक्ष, २०४७ सालमा गण्डकी अन्चल अध्यक्ष तथा अनेरास्ववियु केन्द्रीय सदस्य र २०४९ सालमा पृथ्वीनारायण क्याम्पस पोखरा र २०५३ सालमा त्रिभुवन विश्वविद्यालय केन्द्रीय क्याम्पस किर्तीपुरमा स्ववियु सभापतिमा निर्वाचित भएका थिए",Yes,"['पोखरा', 'नारायण']","In 2044 BS, he became the Chairman of ANNFSU Prithvi Narayan Campus Committee, in 2045 BS, a member of SWCU Prithvi Narayan Campus, in 2045 BS itself, the Chairman of ANNFSU Kaski District Committee, in 2047 BS, the Gandaki Regional Chairman and ANNFSU Central Member, and in 2049 BS, he was elected as the SWCU President at Prithvi Narayan Campus Pokhara and in 2053 BS at Tribhuvan University Central Campus Kirtipur.","['Pokhara', 'Narayan']"
83,87,87,०४६ सालको आन्दोलनको केन्द्र पोखरा थियो,Yes,['पोखरा'],Pokhara was the center of the movement of 2046 BS.,['Pokhara']
